Regularizer	FC1	FC2	genre	variant	epoch	train_loss	train_accuracy	train_fscore	test_loss	test_accuracy	test_fscore
L1=1e-5	256	256	Animation	BCE loss	5	0.94015825015	0.784969752813	0.172319907026	0.409940501785	0.855110617941	NaN
L1=1e-5	256	256	Animation	BCE loss	6	0.869989938018	0.800325732383	0.190153872178	0.440764477061	0.8153895892	NaN
L1=1e-5	256	256	Animation	BCE loss	7	0.775363700126	0.818752907653	0.215444154225	0.4571018027	0.806521638396	NaN
L1=1e-5	256	256	Animation	BCE loss	8	0.691917025189	0.842531410102	0.247293095223	0.458745813671	0.801348667349	NaN
L1=1e-5	256	256	Animation	BCE loss	9	0.593309907045	0.866263377789	0.28414040778	0.431997055688	0.829938570573	NaN
L1=1e-5	256	256	Animation	BCE loss	10	0.504186118126	0.891112145284	0.32687349827	0.42206783821	0.842455313966	NaN
NoReg	256	256	Animation	BCE loss No Reg	1	1.27032943517	0.644625406761	0.112438814888	0.507181986945	0.774606254028	NaN
NoReg	256	256	Animation	BCE loss No Reg	2	1.13112109696	0.715449046029	0.131264820674	0.592596894406	0.689298415753	NaN
NoReg	256	256	Animation	BCE loss No Reg	3	1.08419399072	0.728571427872	0.14372258525	0.488274009865	0.775483811129	NaN
NoReg	256	256	Animation	BCE loss No Reg	4	1.01721488398	0.748627268447	0.156776216189	0.430688962854	0.815759087304	NaN
NoReg	256	256	Animation	BCE loss No Reg	5	0.933001239192	0.773801768031	0.173862161146	0.515968454134	0.742644681495	NaN
NoReg	256	256	Animation	BCE loss No Reg	6	0.836297357088	0.792182409896	0.194956776346	0.421754661706	0.801533416407	NaN
NoReg	256	256	Animation	BCE loss No Reg	7	0.749790527783	0.816612377085	0.22115804008	0.502492660672	0.758994965461	NaN
NoReg	256	256	Animation	BCE loss No Reg	8	0.672610187453	0.831363424072	0.251056207936	0.340601169569	0.857327606352	NaN
NoReg	256	256	Animation	BCE loss No Reg	9	0.603076566519	0.849604466806	0.276266027945	0.287516612364	0.895201145077	NaN
NoReg	256	256	Animation	BCE loss No Reg	10	0.49779836424	0.878780827948	0.32071032543	0.343772650053	0.864763751905	NaN
L1=0e	256	256	Animation	regularizer L1	1	1.66619227609	0.758724988217	0.164565911931	NaN	0.912752297986	NaN
L1=0e	256	256	Animation	regularizer L1	2	1.55027199752	0.885202419342	0.218776341364	NaN	0.927763151564	NaN
L1=0e	256	256	Animation	regularizer L1	3	1.507115129	0.899674266552	0.239941360117	NaN	0.838529398032	NaN
L1=0e	256	256	Animation	regularizer L1	4	1.48740549238	0.911912516196	0.251448638111	NaN	0.866149369038	NaN
L1=0e	256	256	Animation	regularizer L1	5	1.4910207405	0.883108422361	0.2513740228	NaN	0.931365756233	NaN
L1=0e	256	256	Animation	regularizer L1	6	1.39838032826	0.9310842244	0.295962471562	NaN	0.918525703239	NaN
L1=0e	256	256	Animation	regularizer L1	7	1.38199945194	0.930339693369	0.304930488884	NaN	0.925453789297	NaN
L1=0e	256	256	Animation	regularizer L1	8	1.35560580773	0.933271289277	0.31947029152	NaN	0.912151863534	NaN
L1=0e	256	256	Animation	regularizer L1	9	1.32981399207	0.939553280196	0.328587264075	NaN	0.937370098059	NaN
L1=0e	256	256	Animation	regularizer L1	10	1.29164462885	0.943741275089	0.349526478879	NaN	0.9139993529	NaN
L1=1e-4	256	256	Animation	regularizer L1	1	1.90519720229	0.171754304283	0.0880518109348	NaN	0.0498822225226	NaN
L1=1e-4	256	256	Animation	regularizer L1	2	1.81698469436	0.0484411353674	0.0880979901701	NaN	0.0498822225226	NaN
L1=1e-4	256	256	Animation	regularizer L1	3	1.81715189597	0.0484411353609	0.0884187395189	NaN	0.0498822225732	NaN
L1=1e-4	256	256	Animation	regularizer L1	4	1.8157351968	0.0484411353917	0.0885469364629	NaN	0.0498822225226	NaN
L1=1e-4	256	256	Animation	regularizer L1	5	1.81587386586	0.0484411354028	0.0888089780955	NaN	0.0498822225226	NaN
L1=1e-4	256	256	Animation	regularizer L1	6	1.81721828582	0.0484411354028	0.089159295035	NaN	0.0498822225226	NaN
L1=1e-4	256	256	Animation	regularizer L1	7	1.81497963984	0.0484411353785	0.0891524123211	NaN	0.0498822225226	NaN
L1=1e-4	256	256	Animation	regularizer L1	8	1.81629538752	0.0484411353917	0.0894619956432	NaN	0.0498822225226	NaN
L1=1e-4	256	256	Animation	regularizer L1	9	1.81394884062	0.0484411353851	0.0894256510981	NaN	0.0498822225226	NaN
L1=1e-4	256	256	Animation	regularizer L1	10	1.81329342792	0.0484411354028	0.0895359599615	NaN	0.0498822225226	NaN
L1=1e-6	256	256	Animation	regularizer L1	1	1.68819199889	0.737691948923	0.160997141972	NaN	0.904392406762	NaN
